# Tycho-2 (Hog et al. 2000, VizieR I/259/tyc2) subset for the synthetic sky renderer.
# Fetched 2026-09-09 from vizier.cds.unistra.fr. Positions are ICRS/J2000 degrees, VTmag is Tycho V.
# Two kinds of coverage:
#  1. Three 4.2 deg-radius fields spanning galactic star density -- rich (300.0,+35.0),
#     medium (83.6,+22.0), sparse north galactic pole (192.86,+27.13) -- plus a band
#     RA 100..180, Dec 35..45, for tests that fix the pointing explicitly.
#  2. A complete Dec 62..78 band at all right ascensions, VTmag < 11 (~19 stars/deg^2).
#     This is what lets the simulated mount be pointed by the session's own target
#     selection at any time of day: for a mid-northern site it picks a declination
#     around 70 deg, whose right ascension then depends on the clock.
# Committed so that every render is reproducible offline.
ra_deg,dec_deg,vtmag
4.8254640,73.1225819,7.435
4.8276754,68.7356422,10.012
4.8319967,65.1569098,9.543
4.8321279,62.1613289,10.183
4.8382675,74.6616435,9.980
4.8418483,71.5953093,9.840
4.8444974,65.5802717,10.711
4.8463135,67.3234896,8.073
4.8472945,65.5473557,10.868
4.8474883,62.7186140,9.945
4.8476141,75.2369210,9.218
4.8584268,63.8267583,9.727
4.8703837,67.0310430,10.498
4.8943126,63.8559910,10.939
4.9246910,73.9909877,10.502
4.9408237,62.2863982,10.657
4.9442194,75.2978341,10.202
4.9463152,74.2765221,8.541
4.9490169,77.1263292,9.849
4.9573446,67.8646832,9.948
4.9580976,69.8870194,9.138
4.9599432,62.3930919,10.832
4.9638170,62.0294511,10.963
4.9651209,64.2879898,8.971
4.9706795,70.8525703,10.782
4.9730493,63.4470712,10.111
4.9866575,63.8401663,10.629
4.9976240,63.7803938,10.698
5.0178205,75.3452571,9.580
5.0230951,62.0663071,8.158
5.0238568,70.8990987,9.452
5.0256384,63.7576867,9.838
5.0315172,65.1130401,10.402
5.0584286,62.1266013,10.826
5.0584704,76.5708448,8.270
5.0672720,68.5488162,10.164
